ID,COUNTRY,YEAR,DEPARTURE
1,AFGHANISTAN,2008,28
2,AFGHANISTAN,2009,70
3,AFGHANISTAN,2010,106
4,AFGHANISTAN,2011,255
5,AFGHANISTAN,2012,110
6,AFGHANISTAN,2013,138
7,AFGHANISTAN,2014,140
8,AFGHANISTAN,2015,151
9,AFGHANISTAN,2016,89
10,AFGHANISTAN,2017,130
11,AFGHANISTAN,2018,226
12,ALBANIA,2008,3716
13,ALBANIA,2009,3404
14,ALBANIA,2010,3443
15,ALBANIA,2011,4120
16,ALBANIA,2012,3959
17,ALBANIA,2013,3928
18,ALBANIA,2014,4146
19,ALBANIA,2015,4504
20,ALBANIA,2016,4852
21,ALBANIA,2017,5186
22,ALBANIA,2018,5415
23,ALGERIA,2008,1539
24,ALGERIA,2009,1677
25,ALGERIA,2010,1757
26,ALGERIA,2011,1715
27,ALGERIA,2012,1911
28,ALGERIA,2013,2136
29,ALGERIA,2014,2839
30,ALGERIA,2015,3638
31,ALGERIA,2016,4530
32,ALGERIA,2017,5058
33,ALGERIA,2018,5610
34,ARGENTINA,2008,4614
35,ARGENTINA,2009,4981
36,ARGENTINA,2010,5307
37,ARGENTINA,2011,6686
38,ARGENTINA,2012,7266
39,ARGENTINA,2013,6746
40,ARGENTINA,2014,6517
41,ARGENTINA,2015,7807
42,ARGENTINA,2016,10417
43,ARGENTINA,2017,12213
44,ARGENTINA,2018,11130
45,ARMENIA,2008,516
46,ARMENIA,2009,526
47,ARMENIA,2010,563
48,ARMENIA,2011,715
49,ARMENIA,2012,965
50,ARMENIA,2013,1083
51,ARMENIA,2014,1198
52,ARMENIA,2015,1187
53,ARMENIA,2016,1263
54,ARMENIA,2017,1482
55,ARMENIA,2018,1623
56,AUSTRALIA,2008,5808
57,AUSTRALIA,2009,6276
58,AUSTRALIA,2010,7103
59,AUSTRALIA,2011,7788
60,AUSTRALIA,2012,8212
61,AUSTRALIA,2013,9052
62,AUSTRALIA,2014,9480
63,AUSTRALIA,2015,9810
64,AUSTRALIA,2016,10390
65,AUSTRALIA,2017,10932
66,AUSTRALIA,2018,11403
67,AUSTRIA,2008,9677
68,AUSTRIA,2009,10121
69,AUSTRIA,2010,9882
70,AUSTRIA,2011,9874
71,AUSTRIA,2012,10960
72,AUSTRIA,2013,10671
73,AUSTRIA,2014,10994
74,AUSTRIA,2015,10628
75,AUSTRIA,2016,11534
76,AUSTRIA,2017,11491
77,AUSTRIA,2018,11883
78,AZERBAIJAN,2008,2162
79,AZERBAIJAN,2009,2363
80,AZERBAIJAN,2010,3176
81,AZERBAIJAN,2011,3550
82,AZERBAIJAN,2012,3874
83,AZERBAIJAN,2013,4285
84,AZERBAIJAN,2014,4244
85,AZERBAIJAN,2015,4096
86,AZERBAIJAN,2016,4282
